id,location,description,eventtime,raweventtime
P2007280856,11XX BATES ST,Suspicious Person (Specify),2021-01-28 20:24:14,
P2007280853,44XX LABADIE AVE,Investigate Open Door,2021-01-28 20:14:24,
P2007280847,41XX BATES ST,Disturbance,2021-01-28 20:07:10,
P2007280848,WINNEBAGO ST / NEBRASKA AVE,Information on a Disturbance,2021-01-28 20:05:26,
P2007280846,40XX CLEVELAND AVE,Burglary Alarm (Alarm Company),2021-01-28 20:04:47,
P2007280843,GRAVOIS AVE / S COMPTON AVE,Suspicious Person (Specify),2021-01-28 20:03:04,
P2007280840,36XX PALM ST,Larceny,2021-01-28 19:59:34,
P2007280837,46XX POPE AVE,Disturbance,2021-01-28 19:52:03,
P2007280830,CALIFORNIA AVE / VICTOR ST,Fireworks,2021-01-28 19:48:03,
P2007280833,44XX ATHLONE AVE,Assault,2021-01-28 19:47:57,
P2007280821,46XX TENNESSEE AVE,Indecent Act,2021-01-28 19:35:17,
P2007280777,ARSENAL ST / WATSON RD,Investigate Auto,2021-01-28 19:34:31,
P2007280808,38XX MAFFITT AVE,Suspicious Person (Specify),2021-01-28 19:27:46,
P2007280812,12XX MCLARAN AVE,Shooting,2021-01-28 19:24:01,
P2007280600,20XX E FAIR AVE,Larceny,2021-01-28 19:18:04,
P2007280783,DELMAR BLVD / N KINGSHIGHWAY BLVD,Accident,2021-01-28 18:42:39,
P2007290203,CASTLEMAN AVE / S GRAND BLVD,Suspicious Person (Specify),2021-01-29 07:54:04,
P2007290195,50XX S GRAND BLVD,Suspicious Person (Specify),2021-01-29 07:36:14,
P2007290188,29XX INDIANA AVE,Panic Alarm,2021-01-29 07:31:02,
P2007290176,28XX MAGNOLIA AVE,Shots Fired,2021-01-29 07:12:45,
P2007290181,42XX SCHILLER PL,Holdup,2021-01-29 07:10:28,
P2007290226,MARCUS AVE / DR MARTIN LUTHER KING DR,Suspicious Occupants of Auto,2021-01-29 08:09:43,
P2007290212,38XX BAMBERGER AVE,Information on a Disturbance,2021-01-29 07:59:07,
P2007290307,51XX CHRISTY AVE,Investigate Auto,2021-01-29 09:40:55,
P2007290204,38XX UPTON ST,Suspicious Occupants of Auto,2021-01-29 07:50:07,
P2007290308,22XX S GRAND BLVD,Domestic Disturbance,2021-01-29 09:37:42,
P2007290306,S GRAND BLVD / MIAMI ST,Shooting,2021-01-29 09:35:53,
P2007290304,22XX S GRAND BLVD,Disturbance,2021-01-29 09:35:34,
P2007290173,DAVIS ST / S BROADWAY,Accident,2021-01-29 06:58:08,
P2007290236,PAGE BLVD / HAMILTON AVE,Suspicious Occupants of Auto,2021-01-29 08:18:01,
P2007290235,MONTGOMERY ST / N GRAND BLVD,Investigate Auto,2021-01-29 08:17:35,
P2007290230,42XX KENNERLY AVE,Suspicious Occupants of Auto,2021-01-29 08:14:09,
P2007290300,N TUCKER BLVD / COLE ST,Accident,2021-01-29 09:34:26,
P2007290214,70XX GRAVOIS AVE,Suspicious Person (Specify),2021-01-29 08:05:45,
P2007290386,20XX N BROADWAY,Additional Information/Supplemental,2021-01-29 11:41:00,
P2007290209,X GOVERNMENT DR,Accident,2021-01-29 07:56:23,
P2007290384,N BROADWAY / PINE ST,Larceny from a Vehicle,2021-01-29 11:33:05,
P2007290205,40XX S SPRING AVE,Suspicious Person (Specify),2021-01-29 07:51:42,
P2007290318,40XX THOLOZAN AVE,Disturbance,2021-01-29 09:47:40,
P2007290189,38XX UPTON ST,Disturbance,2021-01-29 07:32:41,
P2007290179,51XX HIGHLAND AVE,Call for Police - Calling for Help,2021-01-29 07:03:59,
P2007290314,87XX WALL ST,Shots Fired - Into Dwelling / Property Damage,2021-01-29 09:47:19,
P2007290315,49XX SUTHERLAND AVE,Sundry (Specify),2021-01-29 09:45:48,
P2007290345,10XX LOUGHBOROUGH AVE,Disturbance,2021-01-29 10:20:27,
P2007290400,GERMANIA ST / SHARP AVE,Leaving Scene,2021-01-29 11:29:53,
P2007290449,55XX WALSH ST,Suspicious Person (Specify),2021-01-29 11:54:57,
P2007290341,27XX WYOMING ST,Domestic Disturbance,2021-01-29 10:18:07,
P2007290248,27XX HENRIETTA ST,Disturbance,2021-01-29 08:33:57,
P2007290301,XX S EUCLID AVE,Disturbance,2021-01-29 09:49:07,
P2007290340,26XX ARMAND PL,Information on a Disturbance,2021-01-29 10:12:47,
P2007290293,42XX W KOSSUTH AVE,Domestic Disturbance,2021-01-29 09:26:58,
P2007290453,35XX BERNARD ST,Parking Violation (Specify),2021-01-29 11:54:52,
P2007290421,78XX TENNESSEE PL,Sundry (Specify),2021-01-29 11:20:14,
P2007290452,19XX WYOMING ST,Burglary Alarm (Alarm Company),2021-01-29 11:53:24,
P2007290298,PENNSYLVANIA AVE / ROBERT AVE,Shots Fired,2021-01-29 09:32:30,
P2007290245,15XX HERDER ST,Sick Case,2021-01-29 08:32:50,
